event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2020-02-01 00:03:45 UTC,view,5862228,1.48758E+18,,matrix,20.56,495404942,3a569c8d-d848-4f09-a925-33f673d84c46
2020-02-01 00:03:48 UTC,view,5920400,1.48758E+18,,,30.41,608822393,45fd9b7d-54c8-4d28-bf35-642a9fb5e8c8
2020-02-01 00:03:50 UTC,cart,5883810,1.48758E+18,,,3.81,262107180,3752b11a-8960-49c6-b089-8a583dc874ef
2020-02-01 00:03:50 UTC,cart,5839648,1.48758E+18,,masura,2.37,417102560,dcf90ff3-a246-4b00-b39a-83e6444a0769
2020-02-01 00:03:56 UTC,view,5911741,1.48758E+18,,masura,1.73,417102560,dcf90ff3-a246-4b00-b39a-83e6444a0769
2020-02-01 00:04:00 UTC,cart,5903763,1.48758E+18,,,1.59,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2020-02-01 00:04:03 UTC,view,5685387,1.48758E+18,,farmona,26.32,554962001,eb8923d0-51bf-4d9a-8477-1435e3bb0d08
2020-02-01 00:04:04 UTC,cart,5911741,1.48758E+18,,masura,1.73,417102560,dcf90ff3-a246-4b00-b39a-83e6444a0769
2020-02-01 00:04:25 UTC,view,5685361,1.48758E+18,,farmona,27,554962001,eb8923d0-51bf-4d9a-8477-1435e3bb0d08
2020-02-01 00:04:26 UTC,view,5797969,1.48758E+18,,masura,1.73,417102560,dcf90ff3-a246-4b00-b39a-83e6444a0769
2020-02-01 00:04:30 UTC,view,5876927,1.48758E+18,,domix,3.41,608822750,af9a80d2-a493-4e74-bbca-1215d9f2d04b
2020-02-01 00:04:31 UTC,view,5809912,1.60294E+18,,grattol,5.24,606657051,8a90fa1c-33c7-459e-be6b-181047edd6e3
2020-02-01 00:04:32 UTC,view,5837214,1.48758E+18,,pnb,8.73,565945720,74dfd4e5-eb91-4443-bbc6-ac8f73d3ad99
2020-02-01 00:04:41 UTC,view,5769877,1.48758E+18,,kapous,3.65,608822762,71250188-fa9f-427a-a307-1d5db96339b9
2020-02-01 00:04:50 UTC,remove_from_cart,5561064,1.48758E+18,,,3,565945720,74dfd4e5-eb91-4443-bbc6-ac8f73d3ad99
2020-02-01 00:04:51 UTC,remove_from_cart,5561064,1.48758E+18,,,3,565945720,74dfd4e5-eb91-4443-bbc6-ac8f73d3ad99
2020-02-01 00:04:54 UTC,view,5798053,1.63846E+18,,pole,4.11,608817942,580e2a2f-5905-4acf-a2a0-9d863d8b6fcd
2020-02-01 00:04:58 UTC,view,5734578,1.48758E+18,,haruyama,3.97,565945720,74dfd4e5-eb91-4443-bbc6-ac8f73d3ad99
2020-02-01 00:05:01 UTC,cart,5656124,1.48758E+18,,,0.75,573521387,f19687c4-c4ec-45ac-b23b-bc2e47ca75d5
2020-02-01 00:05:03 UTC,view,5699795,1.48758E+18,,runail,4.44,524521174,0928f4bf-02b6-40bd-aa5a-4d8ec14c0c1d
2020-02-01 00:05:17 UTC,view,5686925,1.48758E+18,,,0.35,278482846,ac0cda7a-f372-4ad3-90c7-7357128a4771
2020-02-01 00:05:17 UTC,view,5825475,1.54748E+18,,,20,579927966,46140b11-fc78-4a3e-bce5-caec0a991bd3
2020-02-01 00:05:21 UTC,cart,5686925,1.48758E+18,,,0.35,278482846,ac0cda7a-f372-4ad3-90c7-7357128a4771
