timestamp,name,TOC,activity,Priority_Code,case_id,DeviceType,Device,event_message
05:04.0,ML,TMS,TOCPB,4,Substation1402,BLKCAR,Device793,Substation1402BLKCARDevice793SIGNALRECEIVEDNORMALCHG-DET
05:04.0,ML,TMS,TOCHS,4,Substation136,BLKCAR,Device309,Substation136BLKCARDevice309SIGNALRECEIVEDTRIPENABLEDCHG-DET
05:05.0,ML,TMS,TOCED,4,Substation78,BLKCAR,Device753,Substation78BLKCARDevice753SIGNALRECEIVEDNORMALCHG-DET
05:05.0,ML,TMS,TOCGR,4,Substation1027,BLKCAR,Device678,Substation1027BLKCARDevice678CARRIERLEVELNORMALCHG-DET
05:05.0,ML,TMS,TOCGR,4,Substation1027,BLKCAR,Device678,Substation1027BLKCARDevice678#1CARRIERLEVLNORMALCHG-DET
05:06.0,ML,TMS,TOCSR,4,Substation1051,BLKCAR,Device292,Substation1051BLKCARDevice292SIGNALRECEIVEDNORMALCHG-DET
05:06.0,ML,TMS,TOCLR,4,Substation687,BLKCAR,Device50,Substation687BLKCARDevice50SIGNALRECEIVEDNORMALCHG-DET
05:07.0,ML,TMS,TOCPB,4,Substation1402,BLKCAR,Device793,Substation1402BLKCARDevice793SIGNALRECEIVEDNORMALCHG-DET
05:07.0,ML,TMS,TOCHS,4,Substation136,BLKCAR,Device309,Substation136BLKCARDevice309SIGNALRECEIVEDNORMALCHG-DET
05:28.0,ML,TMS,TOCMN,4,Substation1137,BLKCAR,BGNV,Substation1137BLKCARBGNVSIGNALRECEIVEDNORMALCHG-DET
05:28.0,ML,TMS,TOCLR,4,Substation723,BLKCAR,Device516,Substation723BLKCARDevice516SIGNALRECEIVEDNORMALCHG-DET
05:28.0,ML,TMS,TOCLR,4,Substation169,BLKCAR,SLYVNX,Substation169BLKCARSLYVNXSIGNALRECEIVEDNORMALCHG-DET
05:28.0,ML,TMS,TOCMN,4,Substation1137,BLKCAR,BGNV,Substation1137BLKCARBGNVSIGNALRECEIVEDNORMALCHG-DET
05:28.0,ML,TMS,TOCMN,4,Substation1137,BLKCAR,BGNV,Substation1137BLKCARBGNVSIGNALRECEIVEDNORMALCHG-DET
05:28.0,ML,TMS,TOCMN,4,Substation1137,BLKCAR,BGNV,Substation1137BLKCARBGNVSIGNALRECEIVEDBLOCKTRIPCHG-DET
05:31.0,ML,TMS,TOCLR,4,Substation723,BLKCAR,Device516,Substation723BLKCARDevice516SIGNALRECEIVEDNORMALCHG-DET
06:01.0,ML,TMS,TOCLR,4,Substation169,BLKCAR,Device335,Substation169BLKCARDevice335SIGNALRECEIVEDTRIPENABLEDCHG-DET
06:01.0,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058BLKCARR2362_PLANTSIGNALRECEIVEDBLOCKTRIPCHG-DET
06:01.0,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247BLKCARDevice424SIGNALRECEIVEDTRIPENABLEDCHG-DET
06:02.0,ML,TMS,TOCED,4,Substation232,BLKCAR,Device689,Substation232BLKCARDevice689SIGNALRECEIVEDTRIPENABLEDCHG-DET
06:03.0,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058BLKCARR2362_PLANTSIGNALRECEIVEDNORMALCHG-DET
06:03.0,ML,TMS,TOCLR,4,Substation1350,BLKCAR,JAX_N_LN,Substation1350BLKCARJAX_N_LNSIGNALRECEIVEDNORMALCHG-DET
06:04.0,ML,TMS,TOCED,4,Substation232,BLKCAR,Device689,Substation232BLKCARDevice689SIGNALRECEIVEDTRIPENABLEDCHG-DET
06:04.0,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247BLKCARDevice424SIGNALRECEIVEDTRIPENABLEDCHG-DET
